CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185329&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
